ip,source,source_url,last_seen,asn,organization,country
1.181.200.22,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.183.160.23,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.192.176.104,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.204.40.162,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.24.16.101,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.104,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.143,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.150,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.161,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.165,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.166,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.169,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.17,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.19,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.195,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.29,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.37,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.40,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.43,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.8,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.9,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.24.16.94,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.25.75.146,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.31.73.54,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.34.143.217,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,3462,HiNet (Chunghwa Telecom),TW
1.34.2.110,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,3462,HiNet (Chunghwa Telecom),TW
1.59.154.227,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4837,China Unicom Backbone,CN
1.83.125.173,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.83.125.195,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.83.125.252,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.83.125.34,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.83.125.61,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.83.125.95,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,4134,China Telecom Backbone,CN
1.95.46.40,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,55990,Huawei Cloud Service data center,CN
2.124.93.235,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,5607,Sky UK,GB
2.134.81.61,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,9198,JSC Kazakhtelecom,KZ
2.15.141.199,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,3215,Orange S.A.,FR
2.155.165.227,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,12430,VODAFONE ESPANA S.A.U.,ES
2.26.0.22,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,215439,PLAY2GO INTERNATIONAL LIMITED,GB
2.26.112.88,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,213877,U1 DIGITAL SERVICES LTD,GB
2.26.52.55,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,215439,PLAY2GO INTERNATIONAL LIMITED,GB
2.26.54.105,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,215439,PLAY2GO INTERNATIONAL LIMITED,GB
2.26.64.218,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,210546,CHSL ONE LTD,GB
2.26.97.151,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,215439,PLAY2GO INTERNATIONAL LIMITED,GB
2.27.122.80,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,206134,NEKOBYTE INTERNATIONAL LIMITED,GB
2.27.248.209,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,207043,DEDIK SERVICES LIMITED,GB
2.3.173.56,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,3215,Orange S.A.,FR
2.40.99.114,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,30722,Fastweb SpA,IT
2.51.18.140,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,5384,EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,AE
2.57.121.120,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,47890,UNMANAGED LTD,GB
2.59.169.250,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,49981,WorldStream B.V.,NL
2.88.179.47,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,25019,Saudi Telecom Company JSC,SA
3.113.75.41,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16509,"Amazon.com, Inc.",US
3.131.24.55,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16509,"Amazon.com, Inc.",US
3.147.122.184,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16509,"Amazon.com, Inc.",US
3.151.116.231,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16509,"Amazon.com, Inc.",US
3.208.27.95,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.80.146.66,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.80.225.254,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.82.139.248,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.82.209.93,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.83.16.103,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.83.162.99,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.83.233.56,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.83.245.221,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.83.80.160,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.85.190.121,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.85.201.48,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.85.30.112,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.85.51.81,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.85.57.190,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.86.101.5,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.86.104.237,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.86.114.186,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.86.210.219,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.86.230.159,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.86.239.220,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.86.250.116,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.87.196.69,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.87.52.46,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.88.155.51,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.88.203.46,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.89.113.104,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.89.209.40,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.89.231.206,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.91.151.163,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
3.91.159.225,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14618,"Amazon.com, Inc.",US
