indicator,indicator_type,ip_version,prefix,asn,organization,country,malicious,confidence,category,source,first_seen,last_seen,malware
50.16.16.211,IP,4,,14618,"Amazon.com, Inc.",US,true,high,malware C2,Feodo Tracker,2025-12-30 13:56:31,2026-03-12,QakBot
1.10.16.0/20,IPv4Prefix,4,1.10.16.0/20,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
1.19.0.0/16,IPv4Prefix,4,1.19.0.0/16,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
1.32.128.0/18,IPv4Prefix,4,1.32.128.0/18,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.0.16.0/20,IPv4Prefix,4,101.0.16.0/20,2914,"NTT America, Inc.",US,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.134.0.0/15,IPv4Prefix,4,101.134.0.0/15,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.192.68.0/22,IPv4Prefix,4,101.192.68.0/22,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.192.72.0/22,IPv4Prefix,4,101.192.72.0/22,211121,Tiger Network Limited,GB,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.192.84.0/22,IPv4Prefix,4,101.192.84.0/22,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.192.88.0/22,IPv4Prefix,4,101.192.88.0/22,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.192.92.0/22,IPv4Prefix,4,101.192.92.0/22,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.193.100.0/22,IPv4Prefix,4,101.193.100.0/22,,,,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
101.193.104.0/22,IPv4Prefix,4,101.193.104.0/22,211121,Tiger Network Limited,GB,true,high,malicious netblock,Spamhaus DROP,,2026-09-02T04:28:49.727199+00:00,
