asn,organization,malicious,confidence,category,source,source_url,last_seen
245,Planning Research Corporation,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
2601,Pitline Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
2702,"Novx Systems, Inc",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
3507,IPSwat LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
3563,"Pilot Network Services, Inc",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
5065,Bunny Communications,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
6060,Management Alliance Group Inc.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
6186,"Garcia Consulting, Inc.",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
6207,Bunny Communications,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
6729,DEMENIN B.V.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
7411,StormNet Communications,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
7857,"Empire Communications, Inc.",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
7907,Networldtron Corp,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
8129,"CAI Wireless Systems, Inc.",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
8649,ZeXoTeK IT-Services GmbH,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
9164,"""R-TEL"" LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
11527,NovaBroadband LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
13875,MxFiber LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
14576,Hosting Solution Ltd.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
17447,Net4India Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
17612,Rinnai Korea,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
17994,Spark New Zealand Trading Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
18526,"DDPS Networks, LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
20724,GlobalTeleHost Corp.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
23865,Net Innovation LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
24426,"Beijing CE Huatong Information Technology Co., Ltd.",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
24544,Law's Cloud Infrastructure Limited,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
