prefix,ip_version,sbl_id,source,source_url,last_seen,asn,organization,country
1.10.16.0/20,4,SBL256894,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
1.19.0.0/16,4,SBL434604,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
1.32.128.0/18,4,SBL286275,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
2.26.75.0/24,4,SBL698389,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,202226,Emil Vitukhnovskii trading as Great Flower,IL
2.27.5.0/24,4,SBL698390,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,202226,Emil Vitukhnovskii trading as Great Flower,IL
2.27.62.0/24,4,SBL699649,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,200051,RIZKI ABDUL AZIS,ID
2.56.192.0/22,4,SBL459831,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
2.57.17.0/24,4,SBL699300,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,25369,Hydra Communications Ltd,GB
2.57.122.0/24,4,SBL636050,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,47890,UNMANAGED LTD,GB
2.57.232.0/23,4,SBL538946,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,207023,Centrix Web Services LLC,US
2.57.234.0/23,4,SBL538947,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,207023,Centrix Web Services LLC,US
2.58.56.0/24,4,SBL696366,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,210558,1337 Services GmbH,DE
2.59.152.0/24,4,SBL697455,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,136038,HDTIDC LIMITED,HK
2.59.153.0/24,4,SBL697501,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,137427,KIDC LIMITED,HK
5.42.92.0/24,4,SBL625300,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,39493,CJSC Kolomna-Sviaz TV,RU
5.101.86.0/24,4,SBL694579,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,34665,Petersburg Internet Network ltd.,RU
5.105.220.0/24,4,SBL627956,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,204384,"LLC ""OTT UKRAINE""",UA
5.175.169.0/24,4,SBL699722,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,219067,Chiara Conti,IT
5.175.189.0/24,4,SBL699033,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,206479,AceRDP Ltd,GB
5.183.60.0/22,4,SBL463004,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,204139,NEXT GLOBAL SERVICES L.P.,GB
5.188.236.0/23,4,SBL544034,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,50509,Transroute.Net,RU
5.230.201.0/24,4,SBL698393,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,200051,RIZKI ABDUL AZIS,ID
5.231.63.0/24,4,SBL699034,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,206479,AceRDP Ltd,GB
5.252.83.0/24,4,SBL699302,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,25369,Hydra Communications Ltd,GB
5.252.153.0/24,4,SBL697551,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
14.128.32.0/20,4,SBL657011,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,152194,CTG Server Limited,HK
14.128.48.0/21,4,SBL656501,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,152194,CTG Server Limited,HK
14.152.94.0/24,4,SBL656012,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,134763,CHINANET Guangdong province network,CN
19.200.0.0/16,4,SBL698680,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
23.94.252.0/24,4,SBL699757,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,207043,DEDIK SERVICES LIMITED,GB
23.128.48.0/24,4,SBL699695,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,3507,IPSwat LLC,US
23.129.252.0/23,4,SBL630797,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,965,Webhosting Holdings LLC,US
23.132.164.0/24,4,SBL688228,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,401626,"Netiface America, Inc.",US
23.137.100.0/24,4,SBL678470,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
23.142.16.0/24,4,SBL699696,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,397881,Stingers Inc.,US
23.143.16.0/24,4,SBL698941,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,7029,Windstream Communications LLC,US
23.146.240.0/24,4,SBL680468,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,46664,VolumeDrive,US
23.146.241.0/24,4,SBL681852,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,46664,VolumeDrive,US
23.146.242.0/24,4,SBL679712,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,46664,VolumeDrive,US
23.147.52.0/24,4,SBL689777,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,402075,Peekabo Networks,US
23.147.148.0/24,4,SBL689966,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,402075,Peekabo Networks,US
23.147.156.0/24,4,SBL689967,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,402075,Peekabo Networks,US
23.147.164.0/24,4,SBL689968,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,402075,Peekabo Networks,US
23.148.144.0/24,4,SBL680469,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,46664,VolumeDrive,US
