prefix,ip_version,sbl_id,source,source_url,last_seen
2001:678:254::/48,6,SBL697648,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:6c0::/48,6,SBL624855,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:6c4::/48,6,SBL626637,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:724::/48,6,SBL631364,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:738::/48,6,SBL635837,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:73c::/48,6,SBL618306,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:754::/48,6,SBL430383,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:758::/48,6,SBL618312,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:770::/48,6,SBL619324,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:780::/48,6,SBL619747,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:788::/48,6,SBL618311,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:c5c::/48,6,SBL634452,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:e38::/48,6,SBL619318,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:e4c::/48,6,SBL623571,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:678:11b8::/48,6,SBL699751,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:67c:508::/48,6,SBL679052,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:67c:f38::/48,6,SBL675589,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:67c:2dbc::/48,6,SBL675591,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2001:43f8:a21::/48,6,SBL694560,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2401:1760::/48,6,SBL655827,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2401:c580::/32,6,SBL246818,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2402:6680::/32,6,SBL310886,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2405:9fc0:1::/48,6,SBL648396,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2405:b180::/32,6,SBL312915,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2405:e880::/32,6,SBL327648,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2602:f68a::/40,6,SBL678470,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2602:f9bb::/36,6,SBL679675,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2602:ffa0::/36,6,SBL262027,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2604:be0:fff0::/44,6,SBL683025,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2607:d100::/32,6,SBL347495,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2607:f2d0::/32,6,SBL287940,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2803:4860::/32,6,SBL676057,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2803:5380:ffff::/48,6,SBL262056,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2803:8700::/32,6,SBL389795,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a00:4c80::/29,6,SBL303520,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a04:5200:5977::/48,6,SBL655362,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a05:b0c6:a000::/39,6,SBL639450,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a05:b0c6:a200::/39,6,SBL639451,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a05:b0c7:6000::/36,6,SBL639452,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a05:f680::/32,6,SBL692420,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a05:f681::/32,6,SBL692421,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a05:f682::/32,6,SBL692422,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a05:f686::/32,6,SBL692423,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a06:e80:3000::/36,6,SBL594400,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a06:b440::/29,6,SBL654213,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a06:d240::/29,6,SBL303521,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:4180::/29,6,SBL463002,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:5780::/29,6,SBL303524,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:6800::/29,6,SBL300238,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
